#,year,event_count
1,2013,10533
2,2014,41438
3,2015,98683
4,2016,97787
5,2017,121647
6,2018,709126
7,2019,869320
8,2020,2266495
9,2021,3360118
10,2022,6342226
11,2023,7525993
