#,openrank,repo_name
1,21855.295127868652,mindspore/mindspore
2,3408.756918221712,mindspore/docs
3,3277.6945266723633,openharmony/docs
4,2933.985939025879,openharmony/arkui_ace_engine
5,2427.0058999061584,openharmony/xts_acts
6,2035.6529150754213,layui/layui
7,1953.7449703216553,openharmony/graphic_graphic_2d
8,1943.38707613945,y_project/RuoYi-Vue
9,1924.018550992012,ascend/pytorch
10,1904.033939242363,openeuler/docs
11,1872.1978070288897,y_project/RuoYi
12,1868.0500440597534,openharmony/arkcompiler_ets_runtime
13,1763.60338306427,opengauss/openGauss-server
14,1460.3437177538872,ascend/samples
15,1457.9514875411987,openeuler/community
16,1337.5087758600712,opengauss/docs
17,1331.9476034641266,openharmony/communication_dsoftbus
18,1325.9509410858154,openharmony/interface_sdk-js
19,1219.9993636012077,openharmony/ability_ability_runtime
20,1210.7826758921146,Discuz/DiscuzX
21,1134.9745018482208,wind_invade/chapter_reader
22,1083.681373089552,openharmony/drivers_peripheral
23,1080.6927591264248,openlookeng/hetu-core
24,1065.7931218743324,y_project/RuoYi-Cloud
25,993.3896282017231,mindspore/community
26,987.6480345129967,openharmony/window_window_manager
27,939.874501734972,ascend/tensorflow
28,867.1695314049721,baomidou/mybatis-plus
29,856.4121854901314,log4j/pig
30,848.9570076465607,openharmony/applications_app_samples
31,816.5624126195908,dotnetchina/Furion
32,773.5168081223965,openharmony/bundlemanager_bundle_framework
33,773.4695088267326,openeuler/release-management
34,767.8483810424805,openeuler/mugen
35,767.5792916417122,thinkgem/jeesite4
36,764.2727723121643,dromara/hutool
37,750.0990287661552,smallweigit/avue
38,730.5624338388443,openharmony/security_selinux_adapter
39,722.4035967588425,openeuler/kernel
40,703.2233930826187,openharmony/build
41,698.473995923996,mindspore/mindinsight
42,659.2678561210632,openeuler/iSulad
43,651.0976131558418,openarkcompiler/OpenArkCompiler
44,647.7527894973755,LongbowEnterprise/BootstrapBlazor
45,628.1663686037064,openeuler/lfs-course
46,627.8336457014084,openeuler/stratovirt
47,600.9434395730495,kekingcn/file-online-preview
48,599.2284587621689,src-openeuler/kernel
49,591.7301695346832,opengauss/practice-course
50,576.432012885809,openharmony/multimodalinput_input
51,572.3597481250763,openharmony/multimedia_audio_framework
52,553.161165446043,openharmony/multimedia_player_framework
53,543.5292115211487,mindspore/mindscience
54,531.7163915038109,lemur/easypoi
55,515.5729998350143,openeuler/micro-certification
56,513.7441086769104,openharmony/drivers_hdf_core
57,500.45776903629303,opengauss/Plugin
58,495.82083535194397,mindspore/mindformers
59,484.9680087566376,openeuler/yocto-meta-openeuler
60,483.17706003785133,xiaoym/knife4j
61,479.6760721206665,anolis/cloud-kernel
62,479.5541857481003,openharmony/multimedia_media_library
63,476.08645993471146,openharmony/developtools_ace_ets2bundle
64,476.01640033721924,cxasm/notepad--
65,475.53323525190353,openharmony/startup_init
66,459.6434931755066,zuohuaijun/Admin.NET
67,457.23920661211014,openLuat/LuatOS
68,455.4733832478523,mindspore/graphengine
69,441.36474311351776,cann/acl
70,439.3275008201599,mindspore/mindquantum
71,437.0785163938999,openkylin/community
72,424.039941072464,openharmony/arkcompiler_ets_frontend
73,423.8656054139137,jeecg/jeecg-boot
74,408.7940196990967,openeuler/openEuler-portal
75,405.7149362564087,openharmony/distributeddatamgr_datamgr_service
76,404.0909129977226,openharmony/msdp_device_status
77,403.9744708240032,openharmony/applications_hap
78,400.6561793088913,mindspore/akg
79,397.42309814691544,layui/layui-vue
80,394.881404876709,openkylin/cybersectookits
81,394.5755491256714,anolis-challenge/activity-box-lab
82,390.5548741519451,ascend/parser
83,389.9652794599533,openeuler/website-v2
84,389.2684037089348,xiandafu/beetlsql
85,388.18499422073364,tinylab/riscv-linux
86,377.37795001268387,openharmony/kernel_liteos_m
87,366.5551917552948,jianmu-dev/jianmu
88,361.08419558405876,openharmony/community
89,357.10207142680883,dromara/sa-token
90,356.10384941101074,openharmony/web_webview
91,355.45369140803814,openharmony/kernel_linux_5.10
92,351.8018276691437,anolis/sysom
93,344.15697591006756,openharmony/third_party_musl
94,341.5631697177887,openharmony/communication_wifi
95,341.1214877963066,openeuler/sysmaster
96,339.64120522141457,openeuler/RISC-V
97,332.61223524808884,src-openeuler/obs_meta
98,326.7706413716078,ken678/YZNCMS
99,314.36643517017365,marsgis/mars3d
100,312.93280178308487,openharmony/kernel_liteos_a
101,307.8856207728386,dromara/RuoYi-Vue-Plus
102,302.7624023258686,opengauss/website
103,301.5983121097088,jeecg/JimuReport
104,296.54233381152153,openharmony/hiviewdfx_hiview
105,295.62562695145607,Discuz/Discuz-Q
106,294.3591501712799,openharmony/manifest
107,290.4519098997116,openharmony/arkcompiler_toolchain
108,290.3805009126663,anolis/community
109,289.7048201560974,opengauss/openGauss-OM
110,279.466924905777,openharmony/xts_hats
111,277.14460611343384,openeuler/radiaTest
112,276.21461391448975,anolis-challenge/activity-school
113,265.6229836344719,openeuler/QA
114,264.7083179950714,mybatis-flex/mybatis-flex
115,259.2208181619644,openharmony-sig/oh-inner-release-management
116,258.6697762310505,openharmony/multimedia_histreamer
117,257.2621339559555,anolis/sysak
118,256.270450592041,openharmony/arkui_ui_lite
119,254.23490998148918,openharmony/third_party_llvm-project
120,253.97795420885086,openeuler/A-Tune
121,252.5868262052536,openharmony/update_updater
122,251.63496530056,rtthread/docs-online
123,250.97455506026745,openharmony/multimedia_camera_framework
124,250.7980288863182,openharmony/developtools_profiler
125,250.08381283283234,openharmony/communication_ipc
126,248.3854455947876,openeuler/openstack
127,244.73563414812088,openharmony/arkui_napi
